level_0,index,Date,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindSpeed9am,Humidity9am,Cloud9am,RainToday,RainTomorrow,AverageTemp,day_of_week,month,index,Rainfall_prev,Evaporation_prev,Sunshine_prev,WindGustSpeed_prev,WindSpeed9am_prev,Humidity9am_prev,Cloud9am_prev,RainToday_prev,AverageTemp_prev,WindGustDir_N,WindGustDir_S,WindGustDir_E,WindGustDir_W,index,Location_Changi,Location_Sentosa,Location_Tuas,Location_Woodlands,Pressure9am_HIGH,Pressure9am_LOW,Pressure9am_MED
37,6258,2008-08-07,0.0,5.0,10.3,W,30.0,9.0,49.0,0.0,0,0,27.8,3,8,37,0.02857142857142908,4.114285714285715,9.785714285714286,31.428571428571427,8.857142857142858,55.857142857142854,0.7142857142857143,0.0,28.628571428571426,0,0,0,1,37,1.0,0.0,0.0,0.0,0.0,0.0,1.0
38,2492,2008-08-08,0.0,5.0,10.3,W,48.0,11.0,36.0,0.0,0,0,27.8,4,8,38,0.02857142857142908,4.314285714285715,9.857142857142858,33.285714285714285,10.142857142857142,53.285714285714285,0.5714285714285714,0.0,28.357142857142858,0,0,0,1,38,1.0,0.0,0.0,0.0,0.0,0.0,1.0
39,7407,2008-08-09,0.0,5.0,10.3,SW,19.0,7.0,47.0,1.0,0,0,28.0,5,8,39,0.02857142857142908,4.171428571428572,9.857142857142858,29.428571428571427,8.428571428571429,53.142857142857146,0.5714285714285714,0.0,28.17142857142857,0,1,0,1,39,1.0,0.0,0.0,0.0,1.0,0.0,0.0
40,3049,2008-08-10,0.0,3.4,-10.2,W,31.0,6.0,47.0,0.0,0,0,27.4,6,8,40,0.02857142857142908,3.857142857142857,6.957142857142857,30.714285714285715,7.714285714285714,53.142857142857146,0.5714285714285714,0.0,28.057142857142857,0,0,0,1,40,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,8829,2008-08-11,0.0,3.2,10.4,W,37.0,11.0,34.0,0.0,0,0,26.6,0,8,41,0.02857142857142908,3.8571428571428577,7.042857142857143,32.285714285714285,8.285714285714286,47.285714285714285,0.42857142857142855,0.0,27.8,0,0,0,1,41,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42,3275,2008-08-12,0.0,4.8,10.4,SW,24.0,9.0,36.0,1.0,0,0,26.6,1,8,42,0.02857142857142908,4.085714285714286,7.385714285714286,32.57142857142857,8.571428571428571,43.57142857142857,0.42857142857142855,0.0,27.52857142857143,0,1,0,1,42,1.0,0.0,0.0,0.0,1.0,0.0,0.0
43,8350,2008-08-13,0.0,4.8,5.3,WNW,20.0,7.0,50.0,7.0,0,0,27.5,2,8,43,0.0,4.457142857142857,6.685714285714286,29.857142857142858,8.571428571428571,42.714285714285715,1.2857142857142858,0.0,27.385714285714283,1,0,0,1,43,1.0,0.0,0.0,0.0,1.0,0.0,0.0
44,6885,2008-08-14,0.0,2.4,8.0,W,30.0,9.0,48.0,7.0,0,0,27.3,3,8,44,0.0,4.085714285714286,6.357142857142857,29.857142857142858,8.571428571428571,42.57142857142857,2.2857142857142856,0.0,27.314285714285713,0,0,0,1,44,1.0,0.0,0.0,0.0,1.0,0.0,0.0
45,8676,2008-08-15,0.0,4.0,10.8,WNW,41.0,17.0,34.0,1.0,0,0,28.6,4,8,45,0.0,3.942857142857143,6.428571428571429,28.857142857142858,9.428571428571429,42.285714285714285,2.4285714285714284,0.0,27.428571428571427,1,0,0,1,45,1.0,0.0,0.0,0.0,0.0,0.0,1.0
46,8550,2008-08-16,0.0,6.0,10.7,WNW,43.0,17.0,42.0,1.0,0,0,28.5,5,8,46,0.0,4.085714285714286,6.485714285714286,32.285714285714285,10.857142857142858,41.57142857142857,2.4285714285714284,0.0,27.5,1,0,0,1,46,1.0,0.0,0.0,0.0,0.0,0.0,1.0
47,2758,2008-08-17,0.0,7.0,10.6,WSW,56.0,13.0,45.0,1.0,0,0,27.4,6,8,47,0.0,4.6000000000000005,9.457142857142857,35.857142857142854,11.857142857142858,41.285714285714285,2.5714285714285716,0.0,27.5,0,1,0,1,47,1.0,0.0,0.0,0.0,0.0,0.0,1.0
48,10743,2008-08-18,0.0,3.8,0.0,WNW,19.0,7.0,68.0,8.0,0,0,27.1,0,8,48,0.0,4.685714285714286,7.971428571428571,33.285714285714285,11.285714285714286,46.142857142857146,3.7142857142857144,0.0,27.571428571428573,1,0,0,1,48,1.0,0.0,0.0,0.0,1.0,0.0,0.0
49,2974,2008-08-19,0.0,3.4,10.8,SW,30.0,15.0,33.0,1.0,0,0,27.6,1,8,49,0.0,4.485714285714286,8.028571428571428,34.142857142857146,12.142857142857142,45.714285714285715,3.7142857142857144,0.0,27.714285714285715,0,1,0,1,49,1.0,0.0,0.0,0.0,1.0,0.0,0.0
50,1217,2008-08-20,0.0,2.0,10.7,E,22.0,11.0,52.0,1.0,0,0,28.3,2,8,50,0.0,4.085714285714286,8.8,34.42857142857143,12.714285714285714,46.0,2.857142857142857,0.0,27.82857142857143,0,0,1,0,50,1.0,0.0,0.0,0.0,1.0,0.0,0.0
51,4325,2008-08-21,0.0,3.2,0.0,N,17.0,6.0,70.0,7.0,0,0,28.2,3,8,51,0.0,4.2,7.6571428571428575,32.57142857142857,12.285714285714286,49.142857142857146,2.857142857142857,0.0,27.957142857142856,1,0,0,0,51,1.0,0.0,0.0,0.0,1.0,0.0,0.0
52,11064,2008-08-22,0.0,1.8,7.9,W,39.0,9.0,64.0,2.0,0,1,29.8,4,8,52,0.0,3.885714285714286,7.242857142857142,32.285714285714285,11.142857142857142,53.42857142857143,3.0,0.0,28.12857142857143,0,0,0,1,52,1.0,0.0,0.0,0.0,0.0,0.0,1.0
53,3498,2008-08-23,10.0,6.2,10.6,SW,39.0,17.0,43.0,1.0,1,0,28.6,5,8,53,1.428571428571429,3.9142857142857146,7.228571428571429,31.714285714285715,11.142857142857142,53.57142857142857,3.0,0.14285714285714285,28.142857142857142,0,1,0,1,53,1.0,0.0,0.0,0.0,0.0,0.0,1.0
54,2003,2008-08-24,0.0,3.8,10.7,ENE,24.0,9.0,47.0,1.0,0,0,28.0,6,8,54,1.428571428571429,3.4571428571428577,7.242857142857142,27.142857142857142,10.571428571428571,53.857142857142854,3.0,0.14285714285714285,28.228571428571428,1,0,1,0,54,1.0,0.0,0.0,0.0,1.0,0.0,0.0
55,8365,2008-08-25,0.0,4.2,10.3,ENE,30.0,11.0,58.0,2.0,0,0,28.4,0,8,55,1.428571428571429,3.5142857142857147,8.714285714285714,28.714285714285715,11.142857142857142,52.42857142857143,2.142857142857143,0.14285714285714285,28.414285714285715,1,0,1,0,55,1.0,0.0,0.0,0.0,1.0,0.0,0.0
56,6248,2008-08-26,0.0,3.4,8.2,SSW,50.0,6.0,66.0,3.0,0,0,29.1,1,8,56,1.428571428571429,3.5142857142857147,8.342857142857143,31.571428571428573,9.857142857142858,57.142857142857146,2.4285714285714284,0.14285714285714285,28.62857142857143,0,1,0,1,56,1.0,0.0,0.0,0.0,1.0,0.0,0.0
57,3928,2008-08-27,0.2,3.2,5.4,WNW,19.0,2.0,68.0,7.0,0,0,29.3,2,8,57,1.4571428571428575,3.6857142857142864,7.5857142857142845,31.142857142857142,8.571428571428571,59.42857142857143,3.2857142857142856,0.14285714285714285,28.771428571428572,1,0,0,1,57,1.0,0.0,0.0,0.0,1.0,0.0,0.0
58,4573,2008-08-28,0.0,2.8,5.6,E,22.0,4.0,68.0,7.0,0,1,29.1,3,8,58,1.4571428571428575,3.628571428571429,8.385714285714284,31.857142857142858,8.285714285714286,59.142857142857146,3.2857142857142856,0.14285714285714285,28.9,0,0,1,0,58,1.0,0.0,0.0,0.0,1.0,0.0,0.0
59,590,2008-08-29,5.0,2.6,10.0,ENE,28.0,2.0,72.0,4.0,1,0,30.1,4,8,59,2.1714285714285717,3.7428571428571433,8.685714285714285,30.285714285714285,7.285714285714286,60.285714285714285,3.5714285714285716,0.2857142857142857,28.942857142857147,1,0,1,0,59,1.0,0.0,0.0,0.0,1.0,0.0,0.0
60,10304,2008-08-30,0.4,4.0,9.5,NNE,28.0,2.0,71.0,5.0,0,0,30.4,5,8,60,0.8000000000000006,3.4285714285714284,8.528571428571428,28.714285714285715,5.142857142857143,64.28571428571429,4.142857142857143,0.14285714285714285,29.2,1,0,1,0,60,1.0,0.0,0.0,0.0,1.0,0.0,0.0
61,10640,2008-08-31,0.0,4.0,9.0,NNE,35.0,11.0,69.0,4.0,0,1,30.4,6,8,61,0.8000000000000006,3.4571428571428577,8.285714285714286,30.285714285714285,5.428571428571429,67.42857142857143,4.571428571428571,0.14285714285714285,29.542857142857144,1,0,1,0,61,1.0,0.0,0.0,0.0,1.0,0.0,0.0
62,2956,2008-09-01,1.6,4.2,5.7,ESE,26.0,7.0,74.0,6.0,1,0,31.2,0,9,62,1.0285714285714291,3.457142857142857,7.628571428571428,29.714285714285715,4.857142857142857,69.71428571428571,5.142857142857143,0.2857142857142857,29.942857142857143,0,1,1,0,62,1.0,0.0,0.0,0.0,1.0,0.0,0.0
63,937,2008-09-02,0.0,3.6,7.9,ESE,26.0,11.0,64.0,6.0,0,0,29.7,1,9,63,1.0285714285714291,3.485714285714286,7.585714285714286,26.285714285714285,5.571428571428571,69.42857142857143,5.571428571428571,0.2857142857142857,30.028571428571432,0,1,1,0,63,1.0,0.0,0.0,0.0,1.0,0.0,0.0
64,4488,2008-09-03,0.0,4.0,8.7,SE,44.0,19.0,58.0,7.0,0,1,30.2,2,9,64,1.0000000000000004,3.6000000000000005,8.057142857142859,29.857142857142858,8.0,68.0,5.571428571428571,0.2857142857142857,30.157142857142855,0,1,1,0,64,1.0,0.0,0.0,0.0,1.0,0.0,0.0
65,7754,2008-09-04,6.0,7.8,0.0,NS,43.0,11.0,90.0,8.0,1,1,29.6,3,9,65,1.8571428571428577,4.314285714285715,7.257142857142857,32.857142857142854,9.0,71.14285714285714,5.714285714285714,0.42857142857142855,30.228571428571428,1,1,0,0,65,1.0,0.0,0.0,0.0,1.0,0.0,0.0
66,11110,2008-09-05,41.6,4.4,5.4,WNW,30.0,6.0,78.0,7.0,1,1,30.3,4,9,66,7.085714285714287,4.571428571428571,6.6000000000000005,33.142857142857146,9.571428571428571,72.0,6.142857142857143,0.42857142857142855,30.25714285714286,1,0,0,1,66,1.0,0.0,0.0,0.0,0.0,0.0,1.0
67,1981,2008-09-06,3.8,1.8,11.0,W,61.0,22.0,61.0,1.0,1,0,30.3,5,9,67,7.571428571428571,4.257142857142857,6.814285714285715,37.857142857142854,12.428571428571429,70.57142857142857,5.571428571428571,0.5714285714285714,30.242857142857144,0,0,0,1,67,1.0,0.0,0.0,0.0,0.0,0.0,1.0
68,5715,2008-09-07,0.0,5.6,10.7,W,24.0,9.0,56.0,1.0,0,0,29.7,6,9,68,7.571428571428571,4.485714285714286,7.057142857142857,36.285714285714285,12.142857142857142,68.71428571428571,5.142857142857143,0.5714285714285714,30.142857142857142,0,0,0,1,68,1.0,0.0,0.0,0.0,0.0,0.0,1.0
69,5354,2008-09-08,0.0,5.2,10.6,NE,22.0,9.0,60.0,1.0,0,0,29.4,0,9,69,7.3428571428571425,4.628571428571428,7.757142857142857,35.714285714285715,12.428571428571429,66.71428571428571,4.428571428571429,0.42857142857142855,29.88571428571429,1,0,1,0,69,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70,6140,2008-09-09,0.0,4.0,-10.1,NE,26.0,7.0,62.0,2.0,0,0,29.4,1,9,70,7.3428571428571425,4.685714285714286,5.185714285714285,35.714285714285715,11.857142857142858,66.42857142857143,3.857142857142857,0.42857142857142855,29.842857142857138,1,0,1,0,70,1.0,0.0,0.0,0.0,1.0,0.0,0.0
71,10823,2008-09-10,0.0,4.4,10.2,NNE,24.0,7.0,66.0,1.0,0,0,29.5,2,9,71,7.3428571428571425,4.742857142857143,5.3999999999999995,32.857142857142854,10.142857142857142,67.57142857142857,3.0,0.42857142857142855,29.74285714285714,1,0,1,0,71,1.0,0.0,0.0,0.0,1.0,0.0,0.0
72,7587,2008-09-11,0.0,4.0,10.1,NNE,28.0,9.0,64.0,3.0,0,0,29.6,3,9,72,6.485714285714286,4.2,6.8428571428571425,30.714285714285715,9.857142857142858,63.857142857142854,2.2857142857142856,0.2857142857142857,29.742857142857144,1,0,1,0,72,1.0,0.0,0.0,0.0,0.0,0.0,1.0
73,6411,2008-09-12,0.0,4.6,7.7,NNE,37.0,2.0,66.0,7.0,0,0,31.0,4,9,73,0.5428571428571428,4.228571428571429,7.171428571428572,31.714285714285715,9.285714285714286,62.142857142857146,2.2857142857142856,0.14285714285714285,29.842857142857145,1,0,1,0,73,1.0,0.0,0.0,0.0,0.0,0.0,1.0
74,698,2008-09-13,0.4,4.2,10.1,N,30.0,4.0,66.0,2.0,0,0,30.3,5,9,74,0.05714285714285715,4.571428571428571,7.042857142857143,27.285714285714285,6.714285714285714,62.857142857142854,2.4285714285714284,0.0,29.842857142857138,1,0,0,0,74,1.0,0.0,0.0,0.0,0.0,0.0,1.0
75,12481,2008-09-14,0.2,5.2,9.6,ENE,33.0,13.0,61.0,2.0,0,0,31.1,6,9,75,0.08571428571428573,4.514285714285714,6.885714285714285,28.571428571428573,7.285714285714286,63.57142857142857,2.5714285714285716,0.0,30.042857142857144,1,0,1,0,75,1.0,0.0,0.0,0.0,1.0,0.0,0.0
76,5033,2008-09-15,1.0,6.2,9.7,NE,28.0,2.0,72.0,1.0,0,0,30.9,0,9,76,0.2285714285714286,4.6571428571428575,6.757142857142857,29.428571428571427,6.285714285714286,65.28571428571429,2.5714285714285716,0.0,30.257142857142856,1,0,1,0,76,1.0,0.0,0.0,0.0,0.0,0.0,1.0
77,7076,2008-09-16,0.0,4.8,10.3,SE,33.0,2.0,61.0,1.0,0,0,31.3,1,9,77,0.2285714285714286,4.771428571428572,9.671428571428573,30.428571428571427,5.571428571428571,65.14285714285714,2.4285714285714284,0.0,30.52857142857143,0,1,1,0,77,1.0,0.0,0.0,0.0,0.0,0.0,1.0
78,9704,2008-09-17,0.0,4.733333333333333,3.5,S,30.0,13.0,63.0,7.0,0,0,30.4,2,9,78,0.2285714285714286,4.819047619047619,8.714285714285714,31.285714285714285,6.428571428571429,64.71428571428571,3.2857142857142856,0.0,30.657142857142855,0,1,0,0,78,1.0,0.0,0.0,0.0,1.0,0.0,0.0
79,12742,2008-09-18,0.0,1.8,0.0,ENE,20.0,0.0,70.0,8.0,0,0,29.6,3,9,79,0.2285714285714286,4.504761904761905,7.271428571428571,30.142857142857142,5.142857142857143,65.57142857142857,4.0,0.0,30.657142857142855,1,0,1,0,79,1.0,0.0,0.0,0.0,0.0,0.0,1.0
80,10442,2008-09-19,0.4,2.6,6.2,NE,26.0,7.0,85.0,7.0,0,0,31.5,4,9,80,0.2857142857142857,4.219047619047619,7.057142857142857,28.571428571428573,5.857142857142857,68.28571428571429,4.0,0.0,30.728571428571428,1,0,1,0,80,1.0,0.0,0.0,0.0,0.0,0.0,1.0
81,9352,2008-09-20,0.2,2.8,10.0,ENE,31.0,6.0,73.0,3.0,0,0,31.8,5,9,81,0.2571428571428572,4.01904761904762,7.042857142857143,28.714285714285715,6.142857142857143,69.28571428571429,4.142857142857143,0.0,30.942857142857147,1,0,1,0,81,1.0,0.0,0.0,0.0,0.0,0.0,1.0
